codigo;ex;tipo;descricao;nacionalfederal;importadosfederal;estadual;municipal;vigenciainicio;vigenciafim;chave;versao;fonte
02012020;;0;"Quartos traseiros,de bovino,n/desossados, frescos/refrig";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02012090;;0;"Outs.carnes de bovino,nao desossadas, frescas ou refrig.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02013000;;0;"Carnes de bovino,desossadas,frescas ou refrigeradas";4.20;10.12;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02021000;;0;"Carcacas e meias-carcacas,de bovino, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02022010;;0;"Quartos dianteiros,de bovino,nao desossados, congelados";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02022020;;0;"Quartos traseiros,de bovino,nao desossados, congelados";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02022090;;0;"Outras carnes de bovino,nao desossadas, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02023000;;0;"Carnes de bovino,desossadas,congeladas";4.20;10.12;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02031100;;0;"Carcacas e meias-carcacas,de suino,frescas ou refriger.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02031200;;0;"Pernas,pas,etc.de suino,n/desossados,frescos ou refrig.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02031900;;0;"Outras carnes,de suino,frescas ou refrigeradas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02032100;;0;"Carcacas e meias-carcacas,de suino, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02032200;;0;"Pernas,pas e pedacos,de suinos,n/desossados, congelados";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02032900;;0;"Outras carnes,de suino,congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02041000;;0;"Carcacas e meias-carcacas,de cordeiro, frescas ou refrig";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02042100;;0;"Carcacas e meias-carcacas,de ovino,frescas ou refriger.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02042200;;0;"Outras carnes,de ovino,nao desossadas, ]frescas ou refrig";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02042300;;0;"Carnes de ovino,desossadas,frescas ou refrigeradas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02043000;;0;"Carcacas e meias-carcacas,de cordeiro, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02044100;;0;"Carcacas e meias-carcacas,de ovino, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02044200;;0;"Outras carnes de ovino,nao desossadas, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02044300;;0;"Carnes de ovino,desossadas,congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02045000;;0;"Carnes de caprino,frescas,refrigeradas ou congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02050000;;0;"Carnes de cavalo,asinino e muar,frescas, refrig.ou cong.";13.45;18.78;20.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02061000;;0;"Miudezas comestiveis,de bovino,frescas ou refrigeradas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02062100;;0;"Linguas de bovino,congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02062200;;0;"Figados de bovino,congelados";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02062910;;0;"Rabos de bovino,congelados";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02062990;;0;"Outras miudezas comestiveis,de bovino, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02063000;;0;"Miudezas comestiveis,de suino,frescas ou refrigeradas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02064100;;0;"Figados de suino,congelados";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02064900;;0;"Outras miudezas,comestiveis,de suino, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02068000;;0;"Miudezas comestiveis,de ovino,etc. frescas/refrigeradas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02069000;;0;"Miudezas comestiveis,de ovino,caprino, etc.congeladas";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02071100;;0;"Carnes de galos/galinhas,n/cort.pedacos, frescas/refrig.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02071200;;0;"Carnes de galos/galinhas,n/cortadas em pedacos,congel.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02071300;;0;"Pedacos e miudezas,de galos/galinhas, frescos/refriger.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02071400;;0;"Pedacos e miudezas,comest.de galos/galinhas, congelados";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02072400;;0;"Carnes de peruas/perus,n/cort.pedacos, frescas/refriger.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02072500;;0;"Carnes de peruas/perus,n/cortadas em pedacos,congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02072600;;0;"Carnes de peruas/perus,em pedacos,miudez. frescos/refrig";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02072700;;0;"Carnes de peruas/perus,em pedacos e miudezas,congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02074100;;0;"Carnes de patos, n/cort.em pedacos, frescas/refriger.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02074200;;0;"Carnes de patos,gansos,etc.n/cort.em pedacos,congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02074300;;0;"Figados gordos,de patos (foie gras), frescos/refrig.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02074400;;0;"Outs.carnes/miudezas,de patos,frescas, refrig";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02074500;;0;"Outs.carnes,miudezas,de patos, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02075100;;0;"Carnes de gansos n/cort.em pedacos, frescas/refriger.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02075200;;0;"Carnes de  gansos n/cort.em pedacos,congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02075300;;0;"Figados gordos,de gansos (foie gras), frescos/ refrig.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02075400;;0;"Outs.carnes/miudezas,de gansos, frescas, refrig";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02075500;;0;"Outs.carnes,miudezas,de gansos, congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02076000;;0;"Carnes e miudezas comestíveis de galinhas dangola (pintadas), frescas/refriger/ congeladas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02081000;;0;"Carnes/miudezas,de coelhos/lebres,frescas/ refrig/congel";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02083000;;0;"Carnes e miudezas,de primatas,frescos/ refrig/congel";13.45;18.78;20.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02084000;;0;"Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas ,frescos/ refrig/ congel";13.45;18.78;20.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02085000;;0;"Carnes e miudezas,de répteis(incluidas as serpentes e as tartarugas marinhas), frescos/ refrig/congel";13.45;18.78;20.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02086000;;0;"Carnes e miudezas,de camelos e outros camelídeos, frescos/ refrig/congel";13.45;18.78;20.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02089000;;0;"Carnes e miudezas,de outs.animais,frescos/ refrig/congel";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02091011;;0;"Toucinho de porco sem partes magras, fresco/ refrigerado/ congelado";4.20;8.27;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02091019;;0;"Toucinho sem partes magras,salgado/ salmoura/ seco/defum.";4.20;8.27;20.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02091021;;0;"Gordura de porco,fresca,refrigerada ou congelada";4.20;8.27;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02091029;;0;"Gordura de porco,n/fundida,salgada,em salmoura,seca,etc";4.20;8.27;20.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02099000;;0;"Gordura de aves,n/fundida,fresca, refrigerada,congel.etc";4.20;8.27;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02101100;;0;"Pernas/pas/pedacos,de suino,n/desossados, salgados,etc.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02101200;;0;"Barrigas e peitos,entremeados,de suino,salgados,etc.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02101900;;0;"Outs.carnes de suino,salgadas ou em salmoura,secas,etc.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02102000;;0;"Carnes de bovinos,salgadas/em salmoura/ secas/defumadas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02109100;;0;"Carnes e miudezas,de primatas,salgados,etc.";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02109100;01;0;"Miudezas, farinhas e pós dessas miudezas de primatas";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02109200;;0;"Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas,salgados,etc.";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02109200;01;0;"Miudezas, farinhas e pós dessas miudezas de baleias, golfinhos e botos  mamíferos da ordem dos cetáceos , de peixes-boi  manatins  e dugongos  mamíferos da ordem dos sirênios , de otárias e focas, leões-marinhos e morsas  mamíferos da subordem dos pinípedes ";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02109300;;0;"Carnes e miudezas,de répteis(incluidas as serpentes e as tartarugas marinhas), salgados,etc.";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02109300;01;0;"Miudezas, farinhas e pós dessas miudezas de répteis  incluindo as serpentes e as tartarugas marinhas ";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02109900;;0;"Carnes e miudezas,de outros animais,salgados, etc.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02109900;01;0;"Miudezas, exceto fígados de aves da posição 01.05, farinhas e pós dessas miudezas";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02109900;02;0;"Fígados de aves da posição 01.05, salgados ou em salmora";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03011110;;0;"Aruanã (peixe ornamental)";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03011190;;0;"Outros peixes ornamentais, vivos,  de água doce";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03011900;;0;"Outros peixes ornamentais vivos";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019110;;0;"Trutas (salmo trutta e oncorhynchus),para reproducao";13.45;15.45;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019190;;0;"Outros trutas (salmo trutta e oncorhynchus),vivas";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019210;;0;"Enguias (anguilla spp.) para reproducao";13.45;15.45;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019290;;0;"Outros enguias (anguilla spp.) vivas";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019310;;0;"Carpas para reproducao";13.45;15.45;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019390;;0;"Outros carpas vivas";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019410;;0;"Atuns-azuis (thunnus thynnus, thunnus orientalis) para reprodução";13.45;15.45;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019490;;0;"Outros atuns-azuis (thunnus thynnus, thunnus orientalis)";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019510;;0;"Atuns-do-sul (thunnus maccoyii) para reprodução";13.45;15.45;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019590;;0;"Outros  atuns-do-sul (thunnus maccoyii)";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019911;;0;"Tilapias,peixes para reproducao";13.45;15.45;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019912;;0;"Esturjões,peixes para reproducao";13.45;15.45;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019919;;0;"Outros peixes vivos para reprodução";13.45;15.45;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019991;;0;"Tilapias,peixes vivos";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019992;;0;"Esturjões,peixes vivos";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03019999;;0;"Outros peixes vivos";13.45;18.78;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03021100;;0;"Trutas frescas,refrig.exc.files,outs. carnes, figados,etc";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03021300;;0;"Salmoes-do-pacifico, frescos,refrig. exc.files,etc.";4.20;9.53;9.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03021400;;0;"Salmoes-do-atlantico, frescos,refrig. exc.files,etc.";4.20;9.53;9.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03021900;;0;"Outros salmonideos frescos,refrig.exc. files,etc.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03022100;;0;"Linguados-gigantes,frescos,refrig.exc. files,etc.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
03022200;;0;"Solhas ou patrucas,frescas,refrig.exc. files,etc.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
